nom;svg;smile du réactif;react;produit1;produit2;produit3;produit4;produits faux 1;produit faux 2;feedback1;produit faux3;produit faux 4;feedback 2
(Z)-3,4-diméthylpent-2-ene;Zalcene1.svg;C/C=C(C)\C(C)C;"""1) BH3, 2) H2O2,OH-""";CC(C)[C@@H](C)[C@@H](C)O;CC(C)[C@H](C)[C@H](C)O;;;CC(C)[C@@H](C)[C@H](C)O;CC(C)[C@H](C)[C@@H](C)O;attention stéréosélectivité:  réaction SYN;CC[C@@H](O)C(C)C;CC[C@H](O)C(C)C;attention régiosélectivité: OH sur le C le moins encombré
(Z)-3,4-diméthylpent-2-ene;Zalcene1.svg;C/C=C(C)\C(C)C;"""HBr, ROOR, solvant apolaire""";CC(C)[C@H](C)[C@@H](C)Br;CC(C)[C@H](C)[C@H](C)Br;CC(C)[C@@H](C)[C@H](C)Br;CC(C)[C@@H](C)[C@@H](C)Br;CC[C@@](C)(Br)C(C)C;CC[C@](C)(Br)C(C)C;attention régiosélectrivité anti-Markovnikov, effet Kharash;;;
(Z)-3,4-diméthylpent-2-ene;Zalcene1.svg;C/C=C(C)\C(C)C;"""HBr, solvant polaire""";CC[C@@](C)(Br)C(C)C;CC[C@](C)(Br)C(C)C;;;CC(C)[C@H](C)[C@@H](C)Br;CC(C)[C@H](C)[C@H](C)Br;attention régiosélectivité Markovnikov;CC(C)[C@@H](C)[C@H](C)Br;CC(C)[C@@H](C)[C@@H](C)Br;attention régiosélectivité Markovnikov
(Z)-3,4-diméthylpent-2-ene;Zalcene1.svg;C/C=C(C)\C(C)C;"""H2O, H2SO4""";CC[C@@H](O)C(C)C;CC[C@H](O)C(C)C;;;CC(C)[C@@H](C)[C@@H](C)O;CC(C)[C@H](C)[C@H](C)O;attention régiosélectivité Markovnikov;;;
(Z)-3,4-diméthylpent-2-ene;Zalcene1.svg;C/C=C(C)\C(C)C;"""H2, Pt""";CC[C@H](C)C(C)C;CC[C@@H](C)C(C)C;;;;;;;;
(Z)-3,4-diméthylpent-2-ene;Zalcene1.svg;C/C=C(C)\C(C)C;"""Br2""";CC(C)[C@](C)(Br)[C@H](C)Br;CC(C)[C@@](C)(Br)[C@@H](C)Br;;;CC(C)[C@](C)(Br)[C@@H](C)Br;CC(C)[C@@](C)(Br)[C@H](C)Br;attention stéréosélectivité : réaction ANTI;;;
(Z)-3,4-diméthylpent-2-ene;Zalcene1.svg;C/C=C(C)\C(C)C;"""KMnO4, dilué, froid""";CC(C)[C@@](C)(O)[C@H](C)O;CC(C)[C@](C)(O)[C@@H](C)O;;;CC(C)[C@@](C)(O)[C@@H](C)O;CC(C)[C@](C)(O)[C@H](C)O;attention stéréosélectivité : réaction SYN;;;
(Z)-3,4-diméthylpent-2-ene;Zalcene1.svg;C/C=C(C)\C(C)C;"""1)O3, 2) H2O milieu oxydant";CC(=O)C(C)C;CC(=O)O;;;CC=O;;attention milieu oxydant (oxydation jusqu'au bout);;;
(Z)-3,4-diméthylpent-2-ene;Zalcene1.svg;C/C=C(C)\C(C)C;"""1)O3, 2) H2O Zn";CC(=O)C(C)C;CC=O;;;CC(=O)O;;attention milieu réducteur (Zn) (oxydation s'arrète);;;
(E)-3,4-diméthylpent-2-ene;Ealcene1.svg;C/C=C(C)/C(C)C;"""HBr, solvant polaire""";CC[C@@](C)(Br)C(C)C;CC[C@](C)(Br)C(C)C;;;CC(C)[C@H](C)[C@@H](C)Br;CC(C)[C@H](C)[C@H](C)Br;attention régiosélectivité Markovnikov;CC(C)[C@@H](C)[C@H](C)Br;CC(C)[C@@H](C)[C@@H](C)Br;attention régiosélectivité Markovnikov
(E)-3,4-diméthylpent-2-ene;Ealcene1.svg;C/C=C(C)/C(C)C;"""1)O3, 2) H2O milieu oxydant";CC(=O)C(C)C;CC(=O)O;;;CC=O;;attention milieu oxydant (oxydation jusqu'au bout);;;
(E)-3,4-diméthylpent-2-ene;Ealcene1.svg;C/C=C(C)/C(C)C;"""1)O3, 2) H2O Zn";CC(=O)C(C)C;CC=O;;;CC(=O)O;;attention milieu réducteur (Zn) (oxydation s'arrète);;;
(E)-3,4-diméthylpent-2-ene;Ealcene1.svg;C/C=C(C)/C(C)C;"""1) BH3, 2) H2O2,OH-""";CC(C)[C@@H](C)[C@H](C)O;CC(C)[C@H](C)[C@@H](C)O;;;CC(C)[C@@H](C)[C@@H](C)O;CC(C)[C@H](C)[C@H](C)O;attention stéréosélectivité:  réaction SYN;CC[C@@H](O)C(C)C;CC[C@H](O)C(C)C;attention régiosélectivité: OH sur le C le moins encombré
(E)-3,4-diméthylpent-2-ene;Ealcene1.svg;C/C=C(C)/C(C)C;"""H2O, H2SO4""";CC[C@@H](O)C(C)C;CC[C@H](O)C(C)C;;;CC(C)[C@@H](C)[C@@H](C)O;CC(C)[C@H](C)[C@H](C)O;attention régiosélectivité Markovnikov;;;
(E)-3,4-diméthylpent-2-ene;Ealcene1.svg;C/C=C(C)/C(C)C;"""HBr, ROOR, solvant apolaire""";CC(C)[C@H](C)[C@@H](C)Br;CC(C)[C@H](C)[C@H](C)Br;CC(C)[C@@H](C)[C@H](C)Br;CC(C)[C@@H](C)[C@@H](C)Br;CC[C@@](C)(Br)C(C)C;CC[C@](C)(Br)C(C)C;attention régiosélectrivité anti-Markovnikov, effet Kharash;;;
(E)-3,4-diméthylpent-2-ene;Ealcene1.svg;C/C=C(C)/C(C)C;"""H2, Pt""";CC[C@H](C)C(C)C;CC[C@@H](C)C(C)C;;;;;;;;
(E)-3,4-diméthylpent-2-ene;Ealcene1.svg;C/C=C(C)/C(C)C;"""Br2""";CC(C)[C@](C)(Br)[C@@H](C)Br;CC(C)[C@@](C)(Br)[C@H](C)Br;;;CC(C)[C@](C)(Br)[C@H](C)Br;CC(C)[C@@](C)(Br)[C@@H](C)Br;attention stéréosélectivité : réaction ANTI;;;
(E)-3,4-diméthylpent-2-ene;Ealcene1.svg;C/C=C(C)/C(C)C;"""KMnO4, dilué, froid""";CC(C)[C@@](C)(O)[C@@H](C)O;CC(C)[C@](C)(O)[C@H](C)O;;;CC(C)[C@@](C)(O)[C@H](C)O;CC(C)[C@](C)(O)[C@@H](C)O;attention stéréosélectivité : réaction SYN;;;