nom,dates,domaine_lieu,contributions,image,
Thalès,v.625 av. J.-C. - v.545 av. J.-C.,philosophe et savant grec né et mort à Milet,théorème de Thalès,  https://commons.wikimedia.org/wiki/File:Illustrerad_Verldshistoria_band_I_Ill_107.jpg
Pythagore, 580 av. J.-C. - 495 av. J.-C., réformateur religieux philosophe et mathématicien grec, accord pythagoricien / harmonie des sphères / nombre d'or / théorème de Pythagore, https://commons.wikimedia.org/wiki/File:Pythagore_Villa_Borghese.jpg
Euclide,v.300 av. J.-C.,mathématicien grec, les Elements,https://commons.wikimedia.org/wiki/File:Euclide%3Fs.jpg
Archimède,287 av. J.-C. – 212 av. J.-C.,grand scientifique de Sicile (Syracuse), principe d'Archimède/Vis d'Archimède/Hydrostatique/Levier/Calcul infinitésimal/Neusis, https://commons.wikimedia.org/wiki/File:Archimede_-_Louvre.png
Brahamgupta,598-670, mathématicien et astronome indien, zéro/ système de numération/Théorème de Brahmagupta/Identité de Brahmagupta/Formule d'interpolation de Brahmagupta, https://commons.wikimedia.org/wiki/File:Hindu_astronomer,_19th-century_illustration.jpg
Al-Khwârizmî,v.780 - v.850,savant mathématicien astronome et géographe persan, abrégé de calcul par la restauration et la comparaison, https://commons.wikimedia.org/wiki/File:Mu%E1%B8%A5ammad_ibn_M%C5%ABs%C4%81_al-Khw%C4%81rizm%C4%AB.png
Leonardo Fibonacci,v.1175-v.1250,mathématicien italien, suites de Fibonacci/passeur de savoir,https://upload.wikimedia.org/wikipedia/commons/3/35/Fibonacci2.jpg
François Viète,1540-1603,juriste et mathématicien français, algèbre nouvelle,https://commons.wikimedia.org/wiki/File:Francois_Viete.jpeg
Galilée,1564-1642,mathématicien géomètre physicien et astronome italien,cinématique/dynamique/ héliocentrisme/lunettes astronomiques,https://commons.wikimedia.org/wiki/File:Justus_Sustermans_-_Portrait_of_Galileo_Galilei,_1636.jpg
René Descartes,1596-1650,mathématicien physicien et philosophe français,cogito/discours de la méthode/optique/géométrie analytique,https://commons.wikimedia.org/wiki/File:Frans_Hals_-_Portret_van_Ren%C3%A9_Descartes.jpg
Pierre de Fermat,1607-1665,magistrat polymathe et mathématicien français,dernier théorème de Fermat/ Géométrie anlytique/ petit théorème de Fermat/ principe de Fermat/ théorie des probabilités,https://commons.wikimedia.org/wiki/File:Pierre_de_Fermat.jpg 
Blaise Pascal,1623-1662,mathématicien physicien philosophe théologien moraliste et statisticien français,théorie des probabilités/pari de Pascal/triangle de Pascal/loi de Pascal/machine à calculer,https://commons.wikimedia.org/wiki/File:Blaise_pascal.jpg
Isaac Newton,1642-1727,mathématicien physicien philosophe alchimiste et théologien anglais,mécanique newtonienne/loi de la gravitation universelle/ lois du mouvement de Newton/optique/binôme de Newton/méthode de Newton,https://commons.wikimedia.org/wiki/File:GodfreyKneller-IsaacNewton-1689.jpg
Gittfried Wilhelm Leibnitz,1646-1716,philosophe scientifique mathématicien logicien diplomate juriste bibliothécaire et philologue allemand,principe de raison suffisante/principe d'identité des indiscernables/principe de continuité/meilleur des mondes possibles/calcul infinitésimal/ notation de Leibniz/système binaire, https://commons.wikimedia.org/wiki/File:Gottfried_Wilhelm_von_Leibniz.jpg
Jacques Bernoulli, 1655-1705,mathématicien et physicien suisse,épreuve de Bernoulli/Lemniscate de Bernoulli/inégalité de Bernoulli/équation différentielle de Bernoulli,https://commons.wikimedia.org/wiki/File:Jakob_Bernoulli.jpg
Jean Bernoulli,1667-1748,mathématicien et physicien suisse,règle de Bernoulli (plus connu sous le nom de règle de l'Hôpital - son élève)/calcul infinitésimal,https://commons.wikimedia.org/wiki/File:Johann_Bernoulli2.jpg
Leonhard Euler,1707-1783,mathematicien physicien astronome géographe logicien et ingénieur suisse,notations moderne ($f(.)$ - $e$ - $\pi$ - $i$.. )/nombreuses identités formules/analyse/thérie des graphes...,https://commons.wikimedia.org/wiki/File:Leonhard_Euler_2.jpg
Joseph-Louis Lagrange,1736-1813,mathématicien mécanicien et astronome piémontais nationalisé français,analyse/théorie des nombres/calcul infinétisimal/mécanique céleste, https://upload.wikimedia.org/wikipedia/commons/4/46/%D0%9B%D0%B0%D0%B3%D1%80%D0%B0%D0%BD%D0%B6.jpg 
Pierre-Simon de Laplace,1749-1827,mathématicien astronome physicien et homme politique français,stabilité du système solaire/théorie du potentiel/statistiques et probabilité, https://commons.wikimedia.org/wiki/File:Pierre-Simon,_marquis_de_Laplace_(1745-1827)_-_Gu%C3%A9rin.jpg
Joseph Fourier,1768-1830,mathématicien physicien archéologue historien ingénieur et préfet français,séries de Fourier/transformées de Fourier/équation de la chaleur, https://commons.wikimedia.org/wiki/File:Fourier2.jpg
Carl Friedrich Gauss,1777-1855,mathématicien astronome et physicien allemand,algèbre/arithmétique/géométries non euclidiennes/probabilité,  https://commons.wikimedia.org/wiki/File:Carl_Friedrich_Gauss.jpg
Augustin-Louis Cauchy,1789-1857,mathématicien français,analyse (définitions de convergence - suites de Cauchy - analyse complexe)/algèbre (déterminant - polynôme caractéristique - diagonalisation), https://commons.wikimedia.org/wiki/File:Augustin-Louis_Cauchy_1901.jpg
Niels Henrik Abel,1802-1829,mathématicien norvégien,algèbre (groupes abéliens)/analyse (intégrales elliptiques - fonctions abéliennes) https://commons.wikimedia.org/wiki/File:Niels_Henrik_Abel_(detail).jpeg
Evariste Galois,1811-1832,mathématicien français,théorie des groupes / théorie des équations / théorie de Galois, https://commons.wikimedia.org/wiki/File:Evariste_galois.jpg
Karl Weierstrass,1815-1897,mathématicien allemand,analyse (fonctions elliptiques), https://commons.wikimedia.org/wiki/File:Karl_Weierstrass_2.jpg
Bernhard Riemann,1826-1866,mathématicien allemand,analyse réelle (sommes de Riemann - intégrales de Riemann)/analyse complexe (sphère de Riemann - hypothèse de Riemann)/gémétries, https://commons.wikimedia.org/wiki/File:Georg_Friedrich_Bernhard_Riemann.jpeg
Richard Dedekind,1831-1916,mathématicien allemand,reconstruction des nombres, https://commons.wikimedia.org/wiki/File:Richard_Dedekind_1900s.jpg
Georg Cantor, 1845-1918,mathématicien allemand,théorie des ensembles, https://commons.wikimedia.org/wiki/File:Georg_Cantor2.jpg
Henri Poincaré,1854-1912,mathématicien physicien et théoricien et philosophe des sciences français, problème à trois corps/conjecture de Poincaré/théorie du chaos/théorie de la relativité, https://commons.wikimedia.org/wiki/File:Poincare.jpg
Giuseppe Peano,1858-1932,mathématicien et linguiste italien, Axiomes de Peano/courbe de Peano, https://commons.wikimedia.org/wiki/File:Giuseppe_Peano.jpg
David Hilbert,1862-1943,mathématicien allemand,problèmes de Hilbert/théorie des invariants/axiomatisation de la géométrie, https://commons.wikimedia.org/wiki/File:David_Hilbert_1886.jpg
Bertrand Russel,1872-1970,mathématicien logicien philosophe et homme politique anglais,logique,https://commons.wikimedia.org/wiki/File:Bertrand_Russell_transparent_bg.png
Henri Lebesgue,1875-1941,mathématicien français,théorie de l'intégration/intégrale de Lebesgue/théorie de la mesure,https://upload.wikimedia.org/wikipedia/commons/3/3a/LebesgueH.gif
Emmy Noether,1882-1935,mathématicienne allemande,algèbre abstraite/physique théorique,https://commons.wikimedia.org/wiki/File:Emmy-noether-2.jpg
Stefan Banach,1892-1945,mathématicien polonais, analyse fonctionnelle/espaces de Banach/algèbre de Banach / paradoxe de Banach Tarski, https://upload.wikimedia.org/wikipedia/commons/5/51/Stefana_Banach_-_%D8%B3%D8%AA%D9%8A%D9%81%D8%A7%D9%86_%D8%A8%D9%86%D8%A7%D8%AE.jpg
Srinivasa Ramanujan,1887-1920,mathématicien indien, fonctions elliptiques/théorie analytique des nombres, https://commons.wikimedia.org/wiki/File:Srinivasa_Ramanujan_-_OPC_-_2.jpg
John von Neumann,1903-1957,mathématicien hongrois-américain,mécanique quantique/analyse fonctionnelle/informatique/sciences économiques,https://commons.wikimedia.org/wiki/File:John_von_Neumann.jpg
Alan Turing,1912-1954,mathématicien et cryptologue anglais,décidabilité/machine de Turing/test de Turing,https://commons.wikimedia.org/wiki/File:Alan_Turing_Age_16_Colorized.jpg





