target;IDX;source
eng-cba79f89.flac;aspirin;aspirin
eng-3c940445.flac;as|well|as well as;as well as
eng-c407307d.flac;as|bottom;as the bottom of
eng-a80cb410.flac;soon|possible|(conversation);as soon as possible
eng-84e9b16b.flac;as|soon;as soon as
eng-3359f4f1.flac;as|if;as if
eng-f433689f.flac;as;as
eng-33f51dec.flac;arrive;arrive
eng-fe38f844.flac;appointment;appointment
eng-b6f237cb.flac;apply|makeup;apply makeup
eng-111438d6.flac;apologize;apologize
eng-3ea87bfb.flac;apartment|block;apartment block
eng-fe1db7ea.flac;antibiotic;antibiotic
eng-caebdb15.flac;answering|machine;answering machine
eng-0af06d8d.flac;anesthetic;anesthetic
eng-0f5f9c3d.flac;other;and other
eng-f6e4db04.flac;hour|half;an hour and a half
eng-f715dbc3.flac;almost;almost
eng-f7bb3b7f.flac;allergic;allergic
eng-f19c0f24.flac;all|week;all week
eng-ce19c2b2.flac;all|together;all together
eng-9cadeff6.flac;all|time;all the time
eng-0f6986f7.flac;all|same;all the same
eng-b58165a7.flac;all|better;all the better
eng-2a3e75e5.flac;all|best|(conversation);all the best!
eng-43f781c0.flac;all|kinds;all kinds
eng-5f10a415.flac;all|inclusive;all inclusive
eng-298a92fe.flac;all|day;all day
eng-01ff7e7c.flac;alarm|clock;alarm clock
eng-439eb7fe.flac;airport|tax;airport tax
eng-6c260646.flac;airmail;airmail
eng-ec141ef8.flac;airline;airline
eng-f2ad3254.flac;air|conditioning;air conditioning
eng-f3d2f44b.flac;agriculture;agriculture
eng-13974d16.flac;agricultural;agricultural
eng-8434910d.flac;after-sun;after-sun
eng-8fad2935.flac;affordable;affordable
eng-9d6a6a4c.flac;aerial;aerial
eng-f4bb024a.flac;admission;admission
eng-85f9c0e6.flac;adhesive|tape;adhesive tape
eng-9b1ec047.flac;addressee;addressee
eng-19dc647c.flac;adapter;adapter
eng-a945e1a0.flac;acknowledgment|receipt;acknowledgment of receipt
eng-e89a8617.flac;accommodations;accommodations
eng-2d385412.flac;accommodation;accommodation
eng-a6df7656.flac;absolute;absolute
eng-35cfee3c.flac;ability;ability
eng-895fdf5c.flac;abbey;abbey
eng-b1f73ff9.flac;while;a while
eng-fd7b1501.flac;time;a time
eng-2560a4b5.flac;sore|stomach;a sore stomach
eng-34506210.flac;quarter|ten;a quarter to ten
eng-f9336660.flac;quarter|past|ten;a quarter past ten
eng-3b5499b8.flac;quarter|hour;a quarter of an hour
eng-71bc55a5.flac;quarter|after;a quarter after ten
eng-dc8e47ec.flac;piece|fruit;a piece of fruit
eng-a32923ac.flac;piece|advice;a piece of advice
eng-198a7c9d.flac;piece;a piece of
eng-69cd764a.flac;pair|pyjamas;a pair of pyjamas
eng-482eab43.flac;lot;a lot of
eng-5e8041d0.flac;lot|more;a lot more
eng-47755b64.flac;long|time;a long time
eng-634a332b.flac;little|bit;a little bit
eng-1effdaf6.flac;little;a little
eng-8c3a5241.flac;kick;a kick
eng-86edcd0b.flac;groaning|sound;a groaning sound
eng-1ea6aa05.flac;glass|water;a glass of water
eng-58f3ca31.flac;few;a few
eng-6a467c5b.flac;bit;a bit
eng-d79cebb5.flac;X-rays;X-rays
eng-04cd7047.flac;United States;United States
eng-c58d700d.flac;United Kingdom;United Kingdom
eng-d5b41909.flac;U-turn;U-turn
eng-ed7e13b2.flac;Tupperware;Tupperware
eng-d057bc4d.flac;T-bar;T-bar
eng-fba5cca8.flac;Spanish;Spanish
eng-858edf3c.flac;Spain;Spain
eng-74dc1336.flac;Portuguese;Portuguese
eng-2ed900f8.flac;Portugal;Portugal
eng-d736d92d.flac;OK|(conversation);OK
eng-6da97d9c.flac;New Year;New Year
eng-bcdec84b.flac;Netherlands;Netherlands
eng-1ad5ed21.flac;Mister;Mister
eng-fd614e16.flac;Kleenex;Kleenex
eng-f3e12338.flac;Japanese;Japanese
eng-d5e6597a.flac;Japan;Japan
eng-de18b6ca.flac;Italy;Italy
eng-98045053.flac;Italian;Italian
eng-d24bb6b4.flac;matter|(conversation);It doesn't matter
eng-739cc283.flac;Internet|café|Internet café;Internet café
eng-85852207.flac;Internet;Internet
eng-28164d43.flac;just|arrive|(conversation);I've just arrived
eng-35c909e0.flac;very|well|(conversation);I'm very well
eng-4d252e48.flac;use|(conversation);I'm used to it
eng-34d4f136.flac;sorry|(conversation);I'm sorry
eng-9c095028.flac;use|(conversation);I'm not used to
eng-e056c094.flac;go|home|(conversation);I'm going home
eng-b3acb9b3.flac;fine|(conversation);I'm fine
eng-c5ce6727.flac;cold|(conversation);I'm cold
eng-daa3adbb.flac;be|year|old|(conversation);I'm 24 years old
eng-d7b1c0e9.flac;be|(conversation);I'm 24
eng-8669fc5a.flac;would|like|(conversation);I'd like
eng-4913186e.flac;must|go|(conversation);I must go
eng-041a673e.flac;miss|him|(conversation);I miss him
eng-aab7c7f7.flac;mind|(conversation);I don't mind
eng-d50b8cb7.flac;care|(conversation);I don't care
eng-d9bf9673.flac;can|not|(conversation);I can't
eng-dd0216b9.flac;I;I
eng-4c510d7f.flac;Hungary;Hungary
eng-c6acc967.flac;Holland;Holland
eng-1649d5fb.flac;happy|New Year|(conversation);Happy New Year!
eng-66d8cd84.flac;happy|Easter|(conversation);Happy Easter!
eng-11618b91.flac;Greece;Greece
eng-fe45bc6a.flac;Great Britain;Great Britain
eng-9515b8b7.flac;Germany;Germany
eng-a5984597.flac;German;German
eng-0127efe1.flac;French|loaf;French loaf
eng-a8d9cb68.flac;French;French
eng-590a2082.flac;France;France
eng-bc9d8a92.flac;European Union;European Union
eng-14481fd4.flac;European;European
eng-e33e3b9c.flac;English;English
eng-c6f6248d.flac;Easter;Easter
eng-8ae459e4.flac;Earth;Earth
eng-f106a77a.flac;yourself;Do It Yourself!
eng-50bf8369.flac;Coke;Coke
eng-34251e88.flac;Chinese;Chinese
eng-eb3c8bb0.flac;CD;CD
eng-71928725.flac;chilly;chilly
eng-2c68dc1b.flac;chill;chill
eng-81b17d68.flac;cheers|(conversation);cheers!
eng-6a3ec4ac.flac;checkroom;checkroom
eng-af382d4e.flac;checkout;checkout
eng-c733d0c7.flac;check-in;check-in
eng-cfeb4394.flac;check|in;check in
eng-1d05aa7c.flac;chapel;chapel
eng-67a369fb.flac;changing|room;changing room
eng-ab0a46f9.flac;change|purse;change purse
eng-c4306420.flac;chairwoman;chairwoman
eng-1ad49af1.flac;chairperson;chairperson
eng-53f879bd.flac;chairlift;chairlift
eng-4b3c82e6.flac;central|heating;central heating
eng-a530f07e.flac;centimeter;centimeter
eng-aaa18e60.flac;cellphone;cellphone
eng-f028f82f.flac;cavity;cavity
eng-aa58df00.flac;catty;catty
eng-7eefd71c.flac;cash|point;cash point
eng-436a9a15.flac;cash|desk;cash desk
eng-06b9e5b9.flac;cash;cash
eng-b1c79f3a.flac;cardiac|arrest;cardiac arrest
eng-6282746b.flac;caravan;caravan
eng-74ef1e81.flac;car|park;car park
eng-5616c572.flac;cancel;cancel
eng-70defa5e.flac;can|opener;can opener
eng-43b61697.flac;camping|stove;camping stove
eng-81a904e4.flac;camping;camping
eng-21cdd175.flac;call|back;call back
eng-cc8e2f3e.flac;call;call
eng-98ad42b5.flac;café;café
eng-bfa83cf7.flac;bye|(conversation);bye!
eng-9a0f6844.flac;by|way;by the way
eng-42e94b7e.flac;by|special;by special
eng-7dc7942c.flac;by|chance;by chance
eng-28721dfd.flac;by|car;by car
eng-3a06ac3d.flac;button;button
eng-076dbed4.flac;butcher;butcher's
eng-7a009af6.flac;butcher|shop;butcher shop
eng-69de4134.flac;business|class;business class
eng-3d0dedc0.flac;business|card;business card
eng-1bd172a3.flac;busily;busily
eng-9dd91ee2.flac;bus|stop;bus stop
eng-41526a40.flac;bus|station;bus station
eng-6ee63a9c.flac;bus|route;bus route
eng-1ff97d3b.flac;bunk|beds;bunk beds
eng-62072ef9.flac;bump;bump
eng-e73f36a6.flac;bucket;bucket
eng-f1a7d2c3.flac;brush;brush
eng-75481bd2.flac;bronchitis;bronchitis
eng-526a8660.flac;breakdown|service;breakdown service
eng-b3969da7.flac;breakdown;breakdown
eng-6cccf0e3.flac;break|into;break into
eng-c34e215c.flac;break|down;break down
eng-93ae8ce6.flac;bra;bra
eng-3ca97c0c.flac;boxer|shorts;boxer shorts
eng-8fe50827.flac;bottle|opener;bottle opener
eng-bbef6364.flac;bookstore;bookstore
eng-107c2cce.flac;bookshop;bookshop
eng-2e3403ff.flac;book|tickets;book of tickets
eng-9f987f7a.flac;bonus;bonus
eng-114209da.flac;boarding;boarding
eng-c4bea6c0.flac;blow|wind;blow of the wind
eng-1b4a1ef9.flac;blossom;blossom
eng-d1db99c6.flac;blood|pressure;blood pressure
eng-a60af4fe.flac;blond;blond
eng-e6a218a3.flac;blister;blister
eng-ceae046f.flac;bless|you|(conversation);bless you!
eng-4869a8e3.flac;bleed;bleed
eng-0c4c4bd5.flac;blackout;blackout
eng-59833609.flac;black|white;black and white
eng-8985ba28.flac;black;black
eng-aa275aed.flac;bin;bin
eng-146781dc.flac;billfold;billfold
eng-500a89e3.flac;big|bike;big bike
eng-1bc4f5d3.flac;bid|bite;bid bite
eng-c02c086d.flac;bicycle|pump;bicycle pump
eng-fb7407f4.flac;better|than;better than
eng-16b50a0c.flac;best|wishes;best wishes
eng-44e175b2.flac;below;below
eng-9080d8db.flac;beginner;beginner
eng-9112b0fc.flac;before|doing;before doing
eng-422cb2d0.flac;beef;beef
eng-66116e3f.flac;bedside|table;bedside table
eng-b41afd1e.flac;become|angry;become angry
eng-c4556c60.flac;because;because of
eng-e3e3a248.flac;beach|umbrella;beach umbrella
eng-ac595b3e.flac;be|bored;be bored
eng-4fcee820.flac;be|able;be able to
eng-bd2a7d39.flac;battle|cry;battle cry
eng-d02ef4ae.flac;battery;battery
eng-8848dc1c.flac;bath|towel;bath towel
eng-90797553.flac;basic;basic
eng-581b0cec.flac;bashful;bashful
eng-2d0f6db5.flac;basement;basement
eng-56ccdd35.flac;barbecue;barbecue
eng-ed6a19f7.flac;bankrupt;bankrupt
eng-e8c83280.flac;banknote;banknote
eng-26d2bd36.flac;bank|account;bank account
eng-8eda3e95.flac;bandage;bandage
eng-e44b31fd.flac;baker;baker's
eng-0c9546d6.flac;baggage|reclaim;baggage reclaim
eng-917ff30a.flac;baggage;baggage
eng-0c358569.flac;backpack;backpack
eng-9e0e0904.flac;babysitter;babysitter
eng-c651c028.flac;baby|bottle;baby's bottle
eng-8f66d626.flac;autumn;autumn
eng-41be8170.flac;auditorium;auditorium
eng-656e1f63.flac;at|top;at the top
eng-e272d731.flac;at|seaside;at the seaside
eng-e83d21be.flac;at|same|time;at the same time
eng-b620c819.flac;at|moment;at the moment
eng-c22a8719.flac;at|last|minute;at the last minute
eng-0986cedf.flac;at|end|street;at the end of the street
eng-86e8236c.flac;at|end;at the end of
eng-0af3321f.flac;at|bottom;at the bottom
eng-5eedb63f.flac;at|beginning;at the beginning of
eng-193a857f.flac;at|beginning;at the beginning
eng-52911073.flac;at|back;at the back of
eng-7f5b5528.flac;at|reception;at reception
eng-ed4f5cc9.flac;at|random;at random
eng-b3db5430.flac;at|once;at once
eng-2cbd2d38.flac;at|least;at least
eng-8a408e40.flac;at|last;at last
eng-b14d2b30.flac;at|home;at home
eng-1ef61d10.flac;at|full|speed;at full speed
eng-32bb9708.flac;at|first;at first
eng-84670e34.flac;asthma;asthma
eng-f2c7aac7.flac;earrings;earrings
eng-433af6f4.flac;early|morning;early morning
eng-d2d58742.flac;each|one;each one
eng-f4c118b5.flac;e-mail|address;e-mail address
eng-5f1d11a8.flac;dynasty;dynasty
eng-73414a0e.flac;duty|drugstore;duty drugstore
eng-b63305d1.flac;dustbin;dustbin
eng-dec3db54.flac;during|week;during the week
eng-55b7d16f.flac;dry|cleaner;dry cleaner's
eng-18821ac5.flac;drunk;drunk
eng-9b273def.flac;drugstore;drugstore
eng-26a0d10f.flac;drought|beer;drought beer
eng-5428225f.flac;drought;drought
eng-ce1e9bea.flac;drops;drops
eng-b946990f.flac;driving|license;driving license
eng-d6e96cfa.flac;driver|license;driver's license
eng-4131b5f6.flac;drink|drinking|water;drinking water
eng-f7984dff.flac;drinkable;drinkable
eng-138f6ed7.flac;dress|dressing|gown;dressing gown
eng-ba1bf9d3.flac;dressing;dressing
eng-11faa1c9.flac;downtown;downtown
eng-9b4cd77e.flac;doubt;doubt
eng-e0323e63.flac;double-time;double-time
eng-9bf6ed00.flac;dos;dos
eng-26f4d791.flac;dormitory;dormitory
eng-c5e26f27.flac;doorway;doorway
eng-42c92657.flac;door|code;door code
eng-764a4d51.flac;suit|(conversation);does that suit you?
eng-b286de8d.flac;do|speak|English|(conversation);do you speak English?
eng-977f44ee.flac;diving;diving
eng-7bcef575.flac;disturb;disturb
eng-c5cd1cc5.flac;distant|from;distant from
eng-7e78a41f.flac;disposable;disposable
eng-b5b20ecb.flac;disinfect;disinfect
eng-7a7a16ee.flac;dishwasher;dishwasher
eng-584dd35d.flac;dishes;dishes
eng-344b075a.flac;dish|towel;dish towel
eng-7384cd6e.flac;dish|day;dish of the day
eng-c9e66c40.flac;disgusting;disgusting
eng-b3cd2ad3.flac;discount|fare;discount fare
eng-29d40cbd.flac;disco;disco
eng-da9201ce.flac;disappointed;disappointed
eng-a9e13231.flac;disadvantage;disadvantage
eng-84fe6ee3.flac;disabled;disabled
eng-467844da.flac;directory;directory
eng-1e90d3f0.flac;director;director
eng-ec218957.flac;diploma;diploma
eng-a11f3393.flac;dining|room;dining room
eng-c80fca37.flac;dining|hall;dining hall
eng-d1979f6f.flac;different|from;different from
eng-b0449a7a.flac;diesel;diesel
eng-c83f5b7e.flac;dictate;dictate
eng-a10ee254.flac;dice;dice
eng-4561d862.flac;dialog;dialog
eng-69265711.flac;dialing|code;dialing code
eng-8171f815.flac;diabetes;diabetes
eng-e7f75eed.flac;depend;depend
eng-1e80587f.flac;department|store;department store
eng-cd1de18a.flac;department;department
eng-ae41c109.flac;deodorant;deodorant
eng-3781ec10.flac;delivery;delivery
eng-6c2179cf.flac;deliciousness;deliciousness
eng-263a4bd4.flac;deli;deli
eng-6c814a37.flac;delayed;delayed
eng-c7b0817b.flac;debit|card;debit card
eng-1ee7338d.flac;daughter-in-law;daughter-in-law
eng-959f0137.flac;date|birth;date of birth
eng-9cb06014.flac;dark|blue;dark blue
eng-5c437a89.flac;damp;damp
eng-dcc8afeb.flac;damaged;damaged
eng-24c0c6bc.flac;cycle|path;cycle path
eng-7bb3c0e7.flac;cutlery;cutlery
eng-7c2601d1.flac;customs;customs
eng-ab958c87.flac;currently;currently to be at
eng-10405626.flac;cupboard;cupboard
eng-b79d50e4.flac;cup;cup
eng-c5049596.flac;cultural;cultural
eng-9e9d701b.flac;cruise;cruise
eng-3f2d4050.flac;crossroads;crossroads
eng-82bcbfc1.flac;crocodile;crocodile
eng-2ea9f36d.flac;criticism;criticism
eng-6a5450f0.flac;credit|card;credit card
eng-648978b6.flac;covering;covering
eng-8d0886c5.flac;cover;cover
eng-55c234de.flac;countryside;countryside
eng-c1229478.flac;counter;counter
eng-af2a5b7f.flac;count;count on
eng-9acb209a.flac;cotton|wool;cotton wool
eng-46eb1e03.flac;cotton|bud;cotton bud
eng-db0af0bb.flac;cotton;cotton
eng-ed3d51f7.flac;cool;cool
eng-14795cd3.flac;cooking|ring;cooking rings
eng-467be66a.flac;cooking;cooking
eng-f214d8b1.flac;cooked|rice;cooked rice
eng-25cc745c.flac;contraceptive;contraceptive
eng-3b332721.flac;continuously;continuously
eng-e76658c4.flac;comparatively;comparatively
eng-1f01330f.flac;companionship;companionship
eng-03d1e589.flac;common|cold;common cold
eng-b447203d.flac;comic|strip;comic strip
eng-4599bb31.flac;come|out;come out
eng-95b25a15.flac;come|in;come in
eng-b53f993b.flac;come|back;come back
eng-edeea54f.flac;color|color;color color
eng-0854e471.flac;collect|call;collect call
eng-a40662f4.flac;collect;collect
eng-bb67f671.flac;coil;coil
eng-538529b3.flac;coffee;coffee
eng-77153098.flac;code;code
eng-5ef72c94.flac;coat|hanger;coat hanger
eng-3f596dcc.flac;coach;coach
eng-268aadd1.flac;clue;clue
eng-19d80712.flac;closing|time;closing time
eng-5542ebb4.flac;closing;closing
eng-19705d80.flac;closet;closet
eng-07cc3413.flac;cloakroom;cloakroom
eng-1fede491.flac;clique;clique
eng-c788ce3b.flac;climbing;climbing
eng-e0351854.flac;clerk;clerk
eng-497d309d.flac;classroom;classroom
eng-2efb047f.flac;classical;classical
eng-b3ef21ad.flac;classic;classic
eng-ea881ea6.flac;class|over;class is over
eng-f63d758e.flac;city|wall;city walls
eng-8343e249.flac;city|hall;city hall
eng-2d5b0234.flac;city;city
eng-24a378bf.flac;cigarette|paper;cigarette paper
eng-502681d8.flac;chin;chin
eng-619e2c60.flac;get|on;get on
eng-f3d95e9c.flac;get|off;get off
eng-27308c22.flac;genuinely;genuinely
eng-4f82759c.flac;general|delivery;general delivery
eng-ce29364a.flac;general;general
eng-ee57b626.flac;gel;gel
eng-d4986236.flac;gauze;gauze
eng-42a816da.flac;gastric|flu;gastric flu
eng-1e40e790.flac;gas|station;gas station
eng-d7ec32ab.flac;gas|cylinder;gas cylinder
eng-07337ed7.flac;gas;gas
eng-e01e7ae3.flac;garlic;garlic
eng-a2e24204.flac;garden|pea;garden pea
eng-3c0918ea.flac;garden;garden
eng-357b5dfc.flac;garbage|can;garbage can
eng-4d658f6f.flac;garbage|bag;garbage bag
eng-472b783a.flac;gallery;gallery
eng-54f9629a.flac;fuse;fuse
eng-665ddab3.flac;furniture;furniture
eng-558b3ac9.flac;funfair;funfair
eng-7b1cc3fd.flac;fundamental;fundamental
eng-4553d94c.flac;full|price;full price
eng-7d2e1dc1.flac;full;full of
eng-a8a832ab.flac;full|fare;full fare
eng-d7cdd0d2.flac;full|board;full board
eng-77d4603f.flac;frying|pan;frying pan
eng-40ddaf98.flac;frozen|food;frozen food
eng-df98eda9.flac;front|wheel;front wheel
eng-72cdaf99.flac;from|time;from time to time
eng-87e6522c.flac;fries;fries
eng-37a41285.flac;friendly|relation;friendly relations
eng-1ae49351.flac;fried|egg;fried egg
eng-f2e94d89.flac;fridge;fridge
eng-912d9713.flac;freezer;freezer
eng-c4defaf9.flac;fragrant;fragrant
eng-83dd75e6.flac;fracture;fracture
eng-58f8399c.flac;fowl;fowl
eng-1f2ce82d.flac;star|petrol;four-star petrol
eng-b13622c5.flac;fountain|pen;fountain pen
eng-06fa1928.flac;forward|gear;forward gear
eng-feaab7ff.flac;fortunate;fortunate
eng-a85d53b4.flac;forest;forest
eng-b832fa73.flac;foreign|language;foreign language
eng-bc6de232.flac;foreign|country;foreign country
eng-2348f4ed.flac;forbidden;forbidden
eng-092b9a93.flac;for|moment;for the moment
eng-4d7cd68e.flac;for|sale;for sale
eng-27a97f8e.flac;for|example;for example
eng-5b8df342.flac;for|hour;for an hour
eng-bc74826a.flac;food|poisoning;food poisoning
eng-d43829f7.flac;food;food
eng-08ef76b6.flac;fondness;fondness
eng-eca209cd.flac;folder;folder
eng-55475e04.flac;fly|away;fly away
eng-b4e154af.flac;flush;flush
eng-9afee455.flac;flip;flip
eng-bc253454.flac;flavor;flavor
eng-36c70eb9.flac;flask;flask
eng-0d7a22bf.flac;flashlight;flashlight
eng-37a12d65.flac;flasher;flasher
eng-3311781b.flac;fizzy;fizzy
eng-56080248.flac;fitting|room;fitting room
eng-0a5edfe0.flac;fishmonger;fishmonger's
eng-731cac2b.flac;fish|shop;fish shop
eng-c0ad93ea.flac;first|all;first of all
eng-d253b62c.flac;first|name;first name
eng-65726f30.flac;first|floor;first floor
eng-367ca081.flac;first|class;first class
eng-15ddfda5.flac;fireworks;fireworks
eng-95e8fefb.flac;fire;fire!
eng-57ce3663.flac;fire|department;fire department
eng-9751e5c1.flac;fire|brigade;fire brigade
eng-d55ddb71.flac;find|out;find out
eng-f1af9199.flac;final|part;final part
eng-186d68b9.flac;filling;filling
eng-4dc390ab.flac;fill|up;fill up
eng-a8e531bb.flac;fill|out;fill out
eng-51bbf095.flac;fill|in;fill in
eng-e7ca5811.flac;feverish;feverish
eng-82e96343.flac;fetch;fetch
eng-9cbaa49a.flac;feel|anxiously;feel anxiously
eng-b0f96fe2.flac;fed|up;fed up
eng-68c58ed9.flac;favorite;favorite
eng-92af1c09.flac;faucet;faucet
eng-046272df.flac;fast-food|restaurant;fast-food restaurant
eng-256649c4.flac;fast;fast
eng-4112cca6.flac;far|from;far from
eng-65f77839.flac;fan;fan
eng-3dcb4090.flac;family|practitioner;family practitioner
eng-51d6ab3c.flac;family|name;family name
eng-6c4911ad.flac;falsification;falsification
eng-fb361ef9.flac;factory;factory
eng-6fa45b95.flac;fact;fact
eng-d3851897.flac;facecloth;facecloth
eng-727887b1.flac;eye;eye
eng-4d3f0d65.flac;extra;extra
eng-8d5c6cd6.flac;expiry|date;expiry date
eng-b8353389.flac;exhibition;exhibition
eng-bdac1eff.flac;exhausted;exhausted
eng-edbe5c9b.flac;excuse|(conversation);excuse me?
eng-09b5cb99.flac;excuse|(conversation);excuse me
eng-8599fa8e.flac;exchange|student;exchange student
eng-92d068b5.flac;exchange|rate;exchange rate
eng-8ac8cfd1.flac;excess;excess
eng-a368a16e.flac;exceptional;exceptional
eng-38bba6c6.flac;exam;exam
eng-0c615710.flac;evidence;evidence
eng-a56ca675.flac;everyday;everyday
